timestamp,alpha,beta,delta,power_wam,power_mean,power_normalized,delay_wam,delay_mean,delay_normalized,pdr_wam,pdr_mean,pdr_normalized,current_sf_len,last_ts_in_schedule,reward,action,returned_reward,terminated,truncated,wait_timeout,valid_cycle,wait_attempts,cycle_idx,seed,alpha_weight,beta_weight,delta_weight,profile
1781328188518.332,0.4,0.3,0.3,775.4662480376766,843.3333333333334,0.15509324960753532,139.5431126486682,161.28569619680732,0.008641968822459519,0.9800830165822316,0.9836747614525392,0.9800830165822316,11,8,2.2293950144849175,0,2.2293950144849175,False,False,False,True,0,1,2,0.4,0.3,0.3,balanced
1781328191944.355,0.4,0.3,0.3,738.8634222919937,796.3333333333334,0.14777268445839875,9987.98721340388,10134.243092298648,0.6656429094999252,0.9805217653563888,0.984263820470717,0.9805217653563888,13,8,2.0353545829735795,0,2.0353545829735795,False,False,False,True,0,2,2,0.4,0.3,0.3,balanced
1781328195366.4602,0.4,0.3,0.3,772.5259026687597,840.8888888888889,0.15450518053375195,72.38683127572017,94.73251028806584,0.004161896682836569,0.9999999999999999,1.0,0.9999999999999999,11,8,2.236949358781648,1,2.236949358781648,False,False,False,True,0,3,2,0.4,0.3,0.3,balanced
1781328202459.408,0.4,0.3,0.3,777.1240188383044,845.1111111111111,0.15542480376766088,77.02821869488535,98.4126984126984,0.004471528932280544,0.9999999999999999,1.0,0.9999999999999999,11,8,2.2364886198132514,2,2.2364886198132514,False,False,False,True,0,4,2,0.4,0.3,0.3,balanced
1781328205775.276,0.4,0.3,0.3,737.425431711146,795.6666666666666,0.1474850863422292,98.55599647266313,124.05790711346269,0.005907671545874791,0.9999999999999999,1.0,0.9999999999999999,13,8,2.2392336639993458,0,2.2392336639993458,False,False,False,True,0,5,2,0.4,0.3,0.3,balanced
1781328209302.819,0.4,0.3,0.3,774.629513343799,842.8888888888889,0.1549259026687598,106.98412698412699,130.9479717813051,0.006469921746772981,0.9999999999999999,1.0,0.9999999999999999,11,8,2.236088662408464,1,2.236088662408464,False,False,False,True,0,6,2,0.4,0.3,0.3,balanced
1781328212617.912,0.4,0.3,0.3,739.4725274725274,796.7777777777778,0.14789450549450547,110.41152263374485,135.6378600823045,0.006698567220396588,0.9999999999999999,1.0,0.9999999999999999,13,8,2.2388326276360786,0,2.2388326276360786,False,False,False,True,0,7,2,0.4,0.3,0.3,balanced
1781328215836.0232,0.4,0.3,0.3,724.2998430141288,778.4444444444445,0.14485996860282577,128.5185185185185,166.17283950617286,0.007906505571615645,0.9999999999999999,1.0,0.9999999999999999,14,8,2.239684060887385,0,2.239684060887385,False,False,False,True,0,8,2,0.4,0.3,0.3,balanced
1781328218950.8108,0.4,0.3,0.3,701.9858712715854,748.8888888888889,0.14039717425431708,137.53086419753086,175.92592592592595,0.008507729432790585,0.9999999999999999,1.0,0.9999999999999999,16,8,2.241288811468436,0,2.241288811468436,False,False,False,True,0,9,2,0.4,0.3,0.3,balanced
1781328222077.862,0.4,0.3,0.3,691.3657770800627,735.5555555555555,0.13827315541601254,172.99055829228243,207.17159277504103,0.010873286076870076,0.990634980782764,0.9923371647509579,0.990634980782764,17,8,2.238619246245363,0,2.238619246245363,False,False,False,True,0,10,2,0.4,0.3,0.3,balanced
1781328225302.447,0.4,0.3,0.3,678.778649921507,719.5555555555555,0.1357557299843014,262.2746305418719,280.741470534574,0.016829528388383714,0.9686629735890819,0.9467858663260963,0.9686629735890819,19,8,2.231247741566489,0,2.231247741566489,False,False,False,True,0,11,2,0.4,0.3,0.3,balanced
1781328228323.025,0.4,0.3,0.3,668.6043956043956,706.3333333333334,0.1337208791208791,196.38809749920858,233.27002215891102,0.012434162608352808,0.9940694226408511,0.9958847736625513,0.9940694226408511,20,8,2.241002226361398,0,2.241002226361398,False,False,False,True,0,12,2,0.4,0.3,0.3,balanced
1781328231335.96,0.4,0.3,0.3,676.9073783359497,717.1111111111111,0.13538147566718994,191.11348528015193,235.6014561570117,0.01208228721015023,0.9999999999999999,1.0,0.9999999999999999,19,8,2.242222723570079,1,2.242222723570079,False,False,False,True,0,13,2,0.4,0.3,0.3,balanced
1781328237956.1018,0.4,0.3,0.3,669.5541601255886,707.3333333333334,0.13391083202511772,185.41519694297475,228.29218106995884,0.011702147894794845,0.9999999999999999,1.0,0.9999999999999999,20,8,2.2429250228215145,0,2.2429250228215145,False,False,False,True,0,14,2,0.4,0.3,0.3,balanced
1781328240972.424,0.4,0.3,0.3,655.6514913657769,689.6666666666666,0.1311302982731554,338.7566137566137,462.6058201058201,0.02193172873626509,0.9960192868356132,0.9960317460317462,0.9960192868356132,22,8,2.239774148120542,0,2.239774148120542,False,False,False,True,0,15,2,0.4,0.3,0.3,balanced
1781328243990.5852,0.4,0.3,0.3,668.0957613814755,705.6666666666666,0.13361915227629512,198.7654320987654,249.67078189300412,0.012592757311458666,0.9999999999999999,1.0,0.9999999999999999,20,8,2.2427745118960445,1,2.2427745118960445,False,False,False,True,0,16,2,0.4,0.3,0.3,balanced
1781328246912.586,0.4,0.3,0.3,657.800627943485,692.0,0.131560125588697,195.08388730610952,252.77461221905662,0.012347157258579688,0.9999999999999999,1.0,0.9999999999999999,22,8,2.243671802586947,0,2.243671802586947,False,False,False,True,0,17,2,0.4,0.3,0.3,balanced
1781328249958.7432,0.4,0.3,0.3,652.2182103610675,684.7777777777778,0.13044364207221348,239.14682539682536,301.2301587301587,0.015286646123870939,0.9999999999999999,1.0,0.9999999999999999,23,8,2.2432365493339534,0,2.2432365493339534,False,False,False,True,0,18,2,0.4,0.3,0.3,balanced
1781328252874.4631,0.4,0.3,0.3,653.5698587127158,686.4444444444445,0.13071397174254315,191.49544385655497,249.7442680776014,0.012107768102505335,0.9999999999999999,1.0,0.9999999999999999,23,8,2.2440820808722313,2,2.2440820808722313,False,False,False,True,0,19,2,0.4,0.3,0.3,balanced
1781328255794.8142,0.4,0.3,0.3,645.4631083202511,675.1111111111111,0.12909262166405022,164.08730158730157,212.22222222222226,0.01027933966559717,0.9999999999999999,1.0,0.9999999999999999,25,8,2.2452791494347006,0,2.2452791494347006,False,False,False,True,0,20,2,0.4,0.3,0.3,balanced
1781328258915.545,0.4,0.3,0.3,554.6499215070643,610.6666666666666,0.11092998430141286,138.21027479091995,164.57228195937876,0.008553053688520345,0.8398744113029827,0.8888888888888888,0.8398744113029827,26,8,2.2050244135637733,0,2.2050244135637733,False,False,False,True,0,21,2,0.4,0.3,0.3,balanced
1781328261743.264,0.4,0.3,0.3,635.6326530612245,663.1111111111111,0.12712653061224488,161.56695156695156,212.80151946818617,0.010111204240623853,0.9999999999999999,1.0,0.9999999999999999,28,8,2.2461160264829148,0,2.2461160264829148,False,False,False,True,0,22,2,0.4,0.3,0.3,balanced
1781328264559.673,0.4,0.3,0.3,631.4442700156985,658.3333333333334,0.12628885400313972,202.40887713109936,262.4911816578483,0.012835815685863866,0.9999999999999999,1.0,0.9999999999999999,29,8,2.245633713692985,0,2.245633713692985,False,False,False,True,0,23,2,0.4,0.3,0.3,balanced
1781328267382.7778,0.4,0.3,0.3,624.8116169544741,647.8888888888889,0.12496232339089482,214.37316284538505,266.9326866549089,0.013633966834248503,0.9999999999999999,1.0,0.9999999999999999,32,8,2.2459248805933676,0,2.2459248805933676,False,False,False,True,0,24,2,0.4,0.3,0.3,balanced
1781328273879.2341,0.4,0.3,0.3,619.2574568288853,641.7777777777778,0.12385149136577707,203.3553791887125,264.8721340388007,0.012898957917859407,0.9999999999999999,1.0,0.9999999999999999,34,8,2.2465897160783315,0,2.2465897160783315,False,False,False,True,0,25,2,0.4,0.3,0.3,balanced
1781328276697.826,0.4,0.3,0.3,616.6091051805338,638.7777777777778,0.12332182103610675,220.9751616696061,287.5631981187537,0.014074393707111815,0.9999999999999999,1.0,0.9999999999999999,35,8,2.2464489534734238,0,2.2464489534734238,False,False,False,True,0,26,2,0.4,0.3,0.3,balanced
1781328279517.173,0.4,0.3,0.3,612.7095761381476,633.5555555555555,0.12254191522762951,231.16475602586712,294.35920047031163,0.01475415317050481,0.9999999999999999,1.0,0.9999999999999999,37,8,2.2465569879577965,0,2.2465569879577965,False,False,False,True,0,27,2,0.4,0.3,0.3,balanced
1781328282330.384,0.4,0.3,0.3,611.8822605965462,631.4444444444445,0.12237645211930924,236.9268077601411,305.78189300411515,0.015138546214819285,0.9999999999999999,1.0,0.9999999999999999,38,8,2.2465078552878306,0,2.2465078552878306,False,False,False,True,0,28,2,0.4,0.3,0.3,balanced
1781328285056.655,0.4,0.3,0.3,607.6216640502354,626.5555555555555,0.12152433281004707,260.5952380952381,335.7231040564374,0.016717494202484195,0.9999999999999999,1.0,0.9999999999999999,40,8,2.246375018615236,0,2.246375018615236,False,False,False,True,0,29,2,0.4,0.3,0.3,balanced
1781328287781.788,0.4,0.3,0.3,606.2762951334379,624.8888888888889,0.12125525902668757,262.5925925925926,342.2633744855968,0.016850739999505846,0.9999999999999999,1.0,0.9999999999999999,41,8,2.246442674389473,0,2.246442674389473,False,False,False,True,0,30,2,0.4,0.3,0.3,balanced
1781328290495.006,0.4,0.3,0.3,604.6279434850863,622.5555555555555,0.12092558869701726,294.21516754850086,374.4973544973545,0.01896031804859912,0.9999999999999999,1.0,0.9999999999999999,43,8,2.2459416691066134,0,2.2459416691066134,False,False,False,True,0,31,2,0.4,0.3,0.3,balanced
1781328293216.768,0.4,0.3,0.3,600.8398744113028,618.7777777777778,0.12016797488226057,301.38080540858317,391.6269841269841,0.019438345924521892,0.9999999999999999,1.0,0.9999999999999999,44,8,2.2461013062697393,0,2.2461013062697393,False,False,False,True,0,32,2,0.4,0.3,0.3,balanced
1781328295940.339,0.4,0.3,0.3,598.6420722135008,615.6666666666666,0.11972841444270016,307.3618459729571,374.4047619047619,0.019837347963506145,0.9999999999999999,1.0,0.9999999999999999,46,8,2.2461574298338682,0,2.2461574298338682,False,False,False,True,0,33,2,0.4,0.3,0.3,balanced
1781328298660.3489,0.4,0.3,0.3,597.2197802197802,613.6666666666666,0.11944395604395604,301.8863903586126,390.9553203997649,0.0194720740732897,0.9999999999999999,1.0,0.9999999999999999,47,8,2.2463807953604307,0,2.2463807953604307,False,False,False,True,0,34,2,0.4,0.3,0.3,balanced
1781328301386.425,0.4,0.3,0.3,598.1930926216639,615.0,0.11963861852433279,306.12580834803055,372.8997648442093,0.019754890483524384,0.9999999999999999,1.0,0.9999999999999999,46,8,2.2462180854452094,1,2.2462180854452094,False,False,False,True,0,35,2,0.4,0.3,0.3,balanced
1781328304501.522,0.4,0.3,0.3,596.8901098901099,613.5555555555555,0.11937802197802198,301.43637226970554,375.98448876226644,0.019442052853215847,0.9939531368102795,0.9958847736625513,0.9939531368102795,47,8,2.2446021163959102,0,2.2446021163959102,False,False,False,True,0,36,2,0.4,0.3,0.3,balanced
1781328310803.679,0.4,0.3,0.3,594.8210361067503,610.4444444444445,0.11896420722135005,366.7538871657645,438.5830343205822,0.02379945878357335,0.9999999999999999,1.0,0.9999999999999999,49,8,2.2452744794763877,0,2.2452744794763877,False,False,False,True,0,37,2,0.4,0.3,0.3,balanced
1781328313519.609,0.4,0.3,0.3,593.541601255887,609.5555555555555,0.1187083202511774,374.3084950029394,467.40887713109936,0.024303435290389554,0.9999999999999999,1.0,0.9999999999999999,50,8,2.245225641312412,0,2.245225641312412,False,False,False,True,0,38,2,0.4,0.3,0.3,balanced
1781328316242.551,0.4,0.3,0.3,591.6342229199372,607.0,0.11832684458398744,453.31422692533806,550.1851851851852,0.029573997793551573,0.9999999999999999,1.0,0.9999999999999999,52,8,2.2437970628283397,0,2.2437970628283397,False,False,False,True,0,39,2,0.4,0.3,0.3,balanced
1781328318963.891,0.4,0.3,0.3,590.2417582417581,604.1111111111111,0.11804835164835163,421.94581280788174,505.76765188834156,0.027481375103928066,0.9999999999999999,1.0,0.9999999999999999,53,8,2.244536246809481,0,2.244536246809481,False,False,False,True,0,40,2,0.4,0.3,0.3,balanced
1781328321685.42,0.4,0.3,0.3,587.7849293563578,601.6666666666666,0.11755698587127156,429.63327859879575,506.6871921182267,0.027994214716397316,0.9999999999999999,1.0,0.9999999999999999,55,8,2.244578941236572,0,2.244578941236572,False,False,False,True,0,41,2,0.4,0.3,0.3,balanced
1781328324399.2168,0.4,0.3,0.3,587.668759811617,600.5555555555555,0.1175337519623234,399.646531452087,489.1225749559083,0.025993764606543495,0.9999999999999999,1.0,0.9999999999999999,56,8,2.2451883698331074,0,2.2451883698331074,False,False,False,True,0,42,2,0.4,0.3,0.3,balanced
1781328327123.642,0.4,0.3,0.3,586.7441130298273,600.1111111111111,0.11734882260596546,420.39956212370004,521.4614121510673,0.027378222956884593,0.9999999999999999,1.0,0.9999999999999999,58,8,2.2448470040705484,0,2.2448470040705484,False,False,False,True,0,43,2,0.4,0.3,0.3,balanced
1781328330051.2441,0.4,0.3,0.3,497.0094191522763,538.3333333333334,0.09940188383045526,375.2240143369176,425.554435483871,0.024364510629547538,0.836734693877551,0.8888888888888888,0.836734693877551,59,8,2.203950301442219,0,2.203950301442219,False,False,False,True,0,44,2,0.4,0.3,0.3,balanced
1781328332965.472,0.4,0.3,0.3,586.8241758241757,600.3333333333334,0.11736483516483513,711.483281354249,690.0668251252929,0.046796749923565646,0.9063506319687638,0.8711716524216524,0.9063506319687638,61,8,2.210920230547625,0,2.210920230547625,False,False,False,True,0,45,2,0.4,0.3,0.3,balanced
1781328335592.619,0.4,0.3,0.3,582.7990580847724,595.0,0.11655981161695447,395.8230452674897,483.3744855967078,0.02573869548148697,0.9999999999999999,1.0,0.9999999999999999,64,8,2.245654466708772,0,2.245654466708772,False,False,False,True,0,46,2,0.4,0.3,0.3,balanced
1781328338209.864,0.4,0.3,0.3,582.3328100470958,594.6666666666666,0.11646656200941916,462.8108465608466,564.4694297472074,0.030207528122804975,0.9999999999999999,1.0,0.9999999999999999,65,8,2.2443511167593906,0,2.2443511167593906,False,False,False,True,0,47,2,0.4,0.3,0.3,balanced
