profile,cycles,sf_mean,sf_min,sf_max,power_mean,delay_mean,pdr_mean,reward_mean,overrides
balanced,300,29.94,11,32,0.12409859095417727,0.02433743403320688,0.9788459361379455,2.235898726626618,0
delay,300,10.443333333333333,10,29,0.15673039402647518,0.010687364576722048,0.9880020390304555,2.07428348552223,286
energy,300,64.27333333333333,10,68,0.11630632105949865,0.04819369254926182,0.9921251470238938,2.0012145749376717,259
reliability,300,13.623333333333333,10,68,0.15369371044744032,0.015598373249268755,0.9889070392806283,2.772394822312647,263
