timestamp,alpha,beta,delta,power_wam,power_mean,power_normalized,delay_wam,delay_mean,delay_normalized,pdr_wam,pdr_mean,pdr_normalized,current_sf_len,last_ts_in_schedule,reward,episode_index,episode_initial_sf_len,episode_profile,action,applied_action,requested_sf_len,applied_sf_len,action_overridden,action_override_reason,returned_reward,terminated,truncated,wait_timeout,valid_cycle,wait_attempts,cycle_idx,seed,reset_count,step_exception_count,profile
1784735472446.887,0.4,0.3,0.3,771.2590266875981,839.7777777777778,0.15425180533751962,124.08215755437978,183.96678424456206,0.0076105508708725665,0.9999999999999998,1.0,0.9999999999999998,11,8,2.23601611260373,1,10,balanced,0,0,11,11,False,,2.23601611260373,False,False,False,True,0,1,49,1,0,balanced
1784735478725.395,0.4,0.3,0.3,737.1412872841444,794.5555555555555,0.1474282574568289,111.23456790123456,147.4485596707819,0.006753473509088363,0.9999999999999998,1.0,0.9999999999999998,13,8,2.239002654964542,1,10,balanced,0,0,13,13,False,,2.239002654964542,False,False,False,True,0,2,49,1,0,balanced
1784735482042.619,0.4,0.3,0.3,723.9874411302983,776.6666666666666,0.14479748822605965,239.7405937683715,301.4256319811875,0.01532625708928429,0.9942812289751064,0.9960317460317459,0.9942812289751064,14,8,2.2357674962753227,1,10,balanced,0,0,14,14,False,,2.2357674962753227,False,False,False,True,0,3,49,1,0,balanced
1784735485262.5889,0.4,0.3,0.3,699.7299843014127,746.4444444444445,0.13994599686028256,180.83333333333331,232.69841269841268,0.011396486546586612,0.9999999999999998,1.0,0.9999999999999998,16,8,2.240602655291911,1,10,balanced,0,0,16,16,False,,2.240602655291911,False,False,False,True,0,4,49,1,0,balanced
1784735488392.2068,0.4,0.3,0.3,692.0376766091051,736.7777777777778,0.138407535321821,189.15954415954414,235.64102564102566,0.01195193756901562,0.9958718530147099,0.9958847736625513,0.9958718530147099,17,8,2.2398129605049797,1,10,balanced,0,0,17,17,False,,2.2398129605049797,False,False,False,True,0,5,49,1,0,balanced
1784735491517.504,0.4,0.3,0.3,673.8131868131867,713.6666666666666,0.13476263736263733,182.38095238095235,231.90476190476187,0.011499729978715968,0.9999999999999998,1.0,0.9999999999999998,19,8,2.2426450260613304,1,10,balanced,0,0,19,19,False,,2.2426450260613304,False,False,False,True,0,6,49,1,0,balanced
1784735494551.593,0.4,0.3,0.3,670.2056514913658,707.4444444444445,0.13404113029827316,205.8230452674897,261.3991769547325,0.013063578736990641,0.9999999999999998,1.0,0.9999999999999998,20,8,2.2424644742595934,1,10,balanced,0,0,20,20,False,,2.2424644742595934,False,False,False,True,0,7,49,1,0,balanced
1784735497570.122,0.4,0.3,0.3,655.8791208791208,690.6666666666666,0.13117582417582416,194.76190476190476,251.38888888888889,0.012325677435750818,0.9999999999999998,1.0,0.9999999999999998,22,8,2.243831967098945,1,10,balanced,0,0,22,22,False,,2.243831967098945,False,False,False,True,0,8,49,1,0,balanced
1784735500587.928,0.4,0.3,0.3,653.5682888540031,686.2222222222222,0.1307136577708006,189.9206349206349,256.07142857142856,0.012002710801910267,0.9999999999999998,1.0,0.9999999999999998,23,8,2.2441137236511066,1,10,balanced,0,0,23,23,False,,2.2441137236511066,False,False,False,True,0,9,49,1,0,balanced
1784735503620.142,0.4,0.3,0.3,645.6718995290423,675.6666666666666,0.12913437990580848,237.92424139646363,301.29799213132543,0.015205086150531262,0.9958718530147099,0.9958847736625513,0.9958718530147099,25,8,2.2425462780969303,1,10,balanced,0,0,25,25,False,,2.2425462780969303,False,False,False,True,0,10,49,1,0,balanced
