profile,reference,metric,n_seed_pairs,balanced_mean,profile_mean,mean_difference,difference_sd,difference_ci95,percent_change_vs_balanced,exact_sign_flip_p
delay,balanced,sf_len,8,30.3465,10.0,-20.3465,0.05429811888349088,0.04539389782702071,-67.0472706901949,0.0078125
delay,balanced,power_normalized,8,0.12393027876122537,0.15826958023317517,0.034339301471949794,0.0008070780505054669,0.0006747272155355529,27.708564698793925,0.0078125
delay,balanced,power_raw,8,645.6621666666666,866.8154444444444,221.15327777777782,3.3661683988764954,2.814158344877852,34.25216610096836,0.0078125
delay,balanced,delay_normalized,8,0.023542473488017288,0.012266498687414943,-0.011275974800602344,0.005811126917131514,0.0048581738550121665,-47.89630455075853,0.015625
delay,balanced,delay_ms,8,451.7177329694716,230.20096335901962,-221.516769610452,106.32640095462104,88.89018405233195,-49.03875881831337,0.0078125
delay,balanced,pdr,8,0.9821642296548918,0.9912181998251255,0.00905397017023378,0.006938807513263416,0.0058009287572982834,0.9218387207417563,0.015625
delay,balanced,reward,8,2.2371817035994845,2.0733120809969656,-0.16386962260251897,0.005094929081251393,0.004259423621037479,-7.324824011338153,0.0078125
energy,balanced,sf_len,8,30.3465,67.999,37.6525,0.05419277758942667,0.045305831204492275,124.07526403374361,0.0078125
energy,balanced,power_normalized,8,0.12393027876122537,0.11441313322109865,-0.009517145540126715,0.0007226340054543045,0.0006041309512086449,-7.679435272201122,0.0078125
energy,balanced,power_raw,8,645.6621666666666,584.6722222222222,-60.989944444444404,3.0371091419367544,2.539060743050994,-9.446107824361876,0.0078125
energy,balanced,delay_normalized,8,0.023542473488017288,0.04835003969902163,0.024807566211004342,0.0024786349922410775,0.0020721694582034487,105.37366102857018,0.0078125
energy,balanced,delay_ms,8,451.7177329694716,904.8786671027924,453.16093413332067,59.54838111309865,49.78318187804415,100.31949181059638,0.0078125
energy,balanced,pdr,8,0.9821642296548918,0.9875181419899076,0.005353912335015809,0.006502204135854595,0.005435922942869339,0.5451137572885383,0.0703125
energy,balanced,reward,8,2.2371817035994845,2.002174103603288,-0.2350075999961972,0.00189514487678537,0.001584364517098461,-10.504627300414837,0.0078125
reliability,balanced,sf_len,8,30.3465,10.0,-20.3465,0.05429811888349088,0.04539389782702071,-67.0472706901949,0.0078125
reliability,balanced,power_normalized,8,0.12393027876122537,0.15792818046273482,0.03399790170150946,0.0007545592739058723,0.0006308208698281148,27.433087411198933,0.0078125
reliability,balanced,power_raw,8,645.6621666666666,865.1966111111111,219.5344444444445,3.2757750136471855,2.738588358703148,34.001441586367974,0.0078125
reliability,balanced,delay_normalized,8,0.023542473488017288,0.010595691007265436,-0.012946782480751854,0.0037539325671726025,0.0031383339774514693,-54.993297485676436,0.0078125
reliability,balanced,delay_ms,8,451.7177329694716,210.34741026456186,-241.3703227049098,85.95477433890764,71.85925266503713,-53.43388250848729,0.0078125
reliability,balanced,pdr,8,0.9821642296548918,0.9890802452540789,0.006916015599187114,0.006713061253721033,0.005612202096942196,0.7041608104193767,0.03125
reliability,balanced,reward,8,2.2371817035994845,2.77276817954521,0.5355864759457253,0.004255802582779051,0.003557903507286713,23.940231367170593,0.0078125
