reference,candidate,metric,n_seed_pairs,reference_mean,candidate_mean,mean_difference_candidate_minus_reference,difference_sd,difference_ci95,percent_change_vs_reference,exact_sign_flip_p
balanced,delay,sf_len,8,30.3465,10.0,-20.3465,0.05429811888349088,0.04539389782702071,-67.0472706901949,0.0078125
balanced,delay,power_normalized,8,0.12393027876122537,0.15826958023317517,0.034339301471949794,0.0008070780505054669,0.0006747272155355529,27.708564698793925,0.0078125
balanced,delay,power_raw,8,645.6621666666666,866.8154444444444,221.15327777777782,3.3661683988764954,2.814158344877852,34.25216610096836,0.0078125
balanced,delay,delay_normalized,8,0.023542473488017288,0.012266498687414943,-0.011275974800602344,0.005811126917131514,0.0048581738550121665,-47.89630455075853,0.015625
balanced,delay,delay_ms,8,451.7177329694716,230.20096335901962,-221.516769610452,106.32640095462104,88.89018405233195,-49.03875881831337,0.0078125
balanced,delay,pdr,8,0.9821642296548918,0.9912181998251255,0.00905397017023378,0.006938807513263416,0.0058009287572982834,0.9218387207417563,0.015625
balanced,delay,reward,8,2.2371817035994845,2.0733120809969656,-0.16386962260251897,0.005094929081251393,0.004259423621037479,-7.324824011338153,0.0078125
balanced,energy,sf_len,8,30.3465,67.999,37.6525,0.05419277758942667,0.045305831204492275,124.07526403374361,0.0078125
balanced,energy,power_normalized,8,0.12393027876122537,0.11441313322109865,-0.009517145540126715,0.0007226340054543045,0.0006041309512086449,-7.679435272201122,0.0078125
balanced,energy,power_raw,8,645.6621666666666,584.6722222222222,-60.989944444444404,3.0371091419367544,2.539060743050994,-9.446107824361876,0.0078125
balanced,energy,delay_normalized,8,0.023542473488017288,0.04835003969902163,0.024807566211004342,0.0024786349922410775,0.0020721694582034487,105.37366102857018,0.0078125
balanced,energy,delay_ms,8,451.7177329694716,904.8786671027924,453.16093413332067,59.54838111309865,49.78318187804415,100.31949181059638,0.0078125
balanced,energy,pdr,8,0.9821642296548918,0.9875181419899076,0.005353912335015809,0.006502204135854595,0.005435922942869339,0.5451137572885383,0.0703125
balanced,energy,reward,8,2.2371817035994845,2.002174103603288,-0.2350075999961972,0.00189514487678537,0.001584364517098461,-10.504627300414837,0.0078125
balanced,reliability,sf_len,8,30.3465,10.0,-20.3465,0.05429811888349088,0.04539389782702071,-67.0472706901949,0.0078125
balanced,reliability,power_normalized,8,0.12393027876122537,0.15792818046273482,0.03399790170150946,0.0007545592739058723,0.0006308208698281148,27.433087411198933,0.0078125
balanced,reliability,power_raw,8,645.6621666666666,865.1966111111111,219.5344444444445,3.2757750136471855,2.738588358703148,34.001441586367974,0.0078125
balanced,reliability,delay_normalized,8,0.023542473488017288,0.010595691007265436,-0.012946782480751854,0.0037539325671726025,0.0031383339774514693,-54.993297485676436,0.0078125
balanced,reliability,delay_ms,8,451.7177329694716,210.34741026456186,-241.3703227049098,85.95477433890764,71.85925266503713,-53.43388250848729,0.0078125
balanced,reliability,pdr,8,0.9821642296548918,0.9890802452540789,0.006916015599187114,0.006713061253721033,0.005612202096942196,0.7041608104193767,0.03125
balanced,reliability,reward,8,2.2371817035994845,2.77276817954521,0.5355864759457253,0.004255802582779051,0.003557903507286713,23.940231367170593,0.0078125
delay,energy,sf_len,8,10.0,67.999,57.998999999999995,0.001851640199547366,0.0015479940697579746,579.99,0.0078125
delay,energy,power_normalized,8,0.15826958023317517,0.11441313322109865,-0.04385644701207651,0.0006691851774273968,0.0005594470710242589,-27.709966089164926,0.0078125
delay,energy,power_raw,8,866.8154444444444,584.6722222222222,-282.1432222222222,2.6338521731185858,2.2019329379451764,-32.54939953256742,0.0078125
delay,energy,delay_normalized,8,0.012266498687414943,0.04835003969902163,0.036083541011606685,0.005560379702775793,0.004648546087735418,294.163329986146,0.0078125
delay,energy,delay_ms,8,230.20096335901962,904.8786671027924,674.6777037437727,89.78529628598064,75.0616163097648,293.0820505262398,0.0078125
delay,energy,pdr,8,0.9912181998251255,0.9875181419899076,-0.003700057835217971,0.004275656424619402,0.0035745015642085105,-0.3732838880350209,0.0546875
delay,energy,reward,8,2.0733120809969656,2.002174103603288,-0.07113797739367822,0.004110684851809667,0.003436583292370093,-3.431127327414745,0.0078125
delay,reliability,sf_len,8,10.0,10.0,0.0,0.0,0.0,0.0,1.0
delay,reliability,power_normalized,8,0.15826958023317517,0.15792818046273482,-0.0003413997704403392,0.0003737270351940601,0.00031244041597825324,-0.21570776262713418,0.015625
delay,reliability,power_raw,8,866.8154444444444,865.1966111111111,-1.618833333333356,1.91214175144036,1.598574114177189,-0.18675640168950747,0.03125
delay,reliability,delay_normalized,8,0.012266498687414943,0.010595691007265436,-0.0016708076801495086,0.00575655065463088,0.004812547425686865,-13.620901307915247,0.4140625
delay,reliability,delay_ms,8,230.20096335901962,210.34741026456186,-19.853553094457805,104.0131408503727,86.95627004243978,-8.624443966159411,0.6171875
delay,reliability,pdr,8,0.9912181998251255,0.9890802452540789,-0.0021379545710466658,0.0029387955396633528,0.002456869357633367,-0.21568960007230012,0.03125
delay,reliability,reward,8,2.0733120809969656,2.77276817954521,0.6994560985482443,0.005352896154027758,0.0044750872791003435,33.736170495466666,0.0078125
energy,reliability,sf_len,8,67.999,10.0,-57.998999999999995,0.001851640199547366,0.0015479940697579746,-85.29390138090267,0.0078125
energy,reliability,power_normalized,8,0.11441313322109865,0.15792818046273482,0.04351504724163617,0.0007188556947157755,0.0006009722367789325,38.033262455582914,0.0078125
energy,reliability,power_raw,8,584.6722222222222,865.1966111111111,280.5243888888889,3.0896811265638555,2.5830115713264084,47.97977024163587,0.0078125
energy,reliability,delay_normalized,8,0.04835003969902163,0.010595691007265436,-0.0377543486917562,0.0025380330421116756,0.002121826961306563,-78.08545541384564,0.0078125
energy,reliability,delay_ms,8,904.8786671027924,210.34741026456186,-694.5312568382305,50.93836062325488,42.58509843719484,-76.75407566651509,0.0078125
energy,reliability,pdr,8,0.9875181419899076,0.9890802452540789,0.001562103264171305,0.004986036548436914,0.004168388119065257,0.15818476620830219,0.453125
energy,reliability,reward,8,2.002174103603288,2.77276817954521,0.7705940759419225,0.0030395179136022805,0.0025410745059054334,38.48786549356991,0.0078125
