profile,cycles,delay_ms_p50,delay_ms_p90,delay_ms_p95,delay_ms_p99,delay_ms_max,cycles_delay_over_1s,cycles_delay_over_5s,pdr_p01,pdr_p05,cycles_pdr_below_0_9
balanced,2000,365.3321010265454,432.0634807579254,558.4185568909425,2262.9221693121694,30743.646700255897,50,7,0.6639566395663956,0.8854166666666666,137
delay,2000,138.10671324560212,201.8790643512866,237.8487993487993,2257.6029937141034,19008.33764114416,33,10,0.7777460317460317,0.9879409171075838,70
energy,2000,871.4181703070592,956.146384479718,1003.0190046578936,1969.140166028097,13321.391139699608,104,3,0.6666666666666666,0.8888888888888888,107
reliability,2000,135.79404648849095,199.12519784742014,237.00324469768915,1251.6130423358372,31398.60749332972,27,7,0.6666666666666666,0.9835390946502056,85
