profile,cycles,delay_ms_p50,delay_ms_p90,delay_ms_p95,delay_ms_p99,delay_ms_max,cycles_delay_over_1s,cycles_delay_over_5s,pdr_p01,pdr_p05,cycles_pdr_below_0_9
balanced,2400,363.86098947880555,431.19915886582544,572.3897447592846,2262.9221693121626,30743.646700255897,62,8,0.6639566395663956,0.8839885752688171,176
delay,2400,139.77660199882422,213.78295572740018,299.42034097589635,2257.602993714063,19008.33764114416,40,14,0.7746031746031746,0.9876543209876544,92
energy,2400,863.9751503640393,950.0037986704654,998.148136842581,2272.79676676379,13321.391139699608,118,5,0.6666666666666666,0.8888888888888888,124
reliability,2400,142.49050332383666,405.1056003256002,672.3918117677696,1251.580300057481,31398.60749332972,32,7,0.7777777777777778,0.9809295242149648,99
