profile,sf_len_mean,sf_len_sd,sf_len_ci95,sf_len_n,power_normalized_mean,power_normalized_sd,power_normalized_ci95,power_normalized_n,power_raw_mean,power_raw_sd,power_raw_ci95,power_raw_n,delay_normalized_mean,delay_normalized_sd,delay_normalized_ci95,delay_normalized_n,delay_ms_mean,delay_ms_sd,delay_ms_ci95,delay_ms_n,pdr_mean,pdr_sd,pdr_ci95,pdr_n,reward_mean,reward_sd,reward_ci95,reward_n,delay_ms_median_mean,delay_ms_median_sd,delay_ms_median_ci95,delay_ms_median_n,delay_ms_p95_mean,delay_ms_p95_sd,delay_ms_p95_ci95,delay_ms_p95_n,pdr_p05_mean,pdr_p05_sd,pdr_p05_ci95,pdr_p05_n,sf_terminal_mode_mean,sf_terminal_mode_sd,sf_terminal_mode_ci95,sf_terminal_mode_n,sf_terminal_median_mean,sf_terminal_median_sd,sf_terminal_median_ci95,sf_terminal_median_n,sf_start_mean,sf_start_sd,sf_start_ci95,sf_start_n,sf_end_mean,sf_end_sd,sf_end_ci95,sf_end_n
balanced,29.888333333333335,0.06821999892970029,0.057032761444629675,8,0.12423239666122833,0.0003859190595296891,0.000322633098862602,8,648.0331944444445,1.668189098164549,1.3946266838583874,8,0.023437401512402027,0.0018211114235665035,0.001522471636087061,8,448.8025033089202,41.11934461116737,34.376279811802256,8,0.9810077840509682,0.004125460797670608,0.0034489361655543065,8,2.2366637725744076,0.0016584099598229024,0.0013864512034578685,8,363.8212815990594,3.9341429706034416,3.2889920998490196,8,589.944973111792,115.02970454153024,96.16625331413138,8,0.8737706576857283,0.01872545649592585,0.015654712841236658,8,29.0,0.0,0.0,8,29.0,0.0,0.0,8,11.0,0.0,0.0,8,30.875,1.5526475085202969,1.298032488277932,8
delay,10.470833333333333,0.037953605763829903,0.031729683046794244,8,0.1571090433464874,0.00034581023342228313,0.0002891016249972173,8,859.5431944444445,1.3827005123804441,1.1559547011020093,8,0.012609364695328973,0.0036150656314528884,0.003022239504544623,8,235.89669428449645,59.98789147119808,50.15061796422409,8,0.9905448359205818,0.0024512969782585947,0.0020493145409607853,8,2.0730702078099084,0.0028524923751210617,0.002384718846456589,8,140.14243601049156,9.544024591526501,7.97892240237538,8,298.48969129662396,45.131465783137585,37.7304626508217,8,0.9859520091356777,0.007512124751941961,0.006280229047809017,8,10.0,0.0,0.0,8,10.0,0.0,0.0,8,30.125,1.5526475085202969,1.298032488277932,8,10.0,0.0,0.0,8
energy,64.27541666666667,0.0017251638983616713,0.00144225832031365,8,0.11579544988498697,0.0005146478687750199,0.00043025197285739304,8,593.37625,2.09721026720259,1.7532936784688227,8,0.04638609533404689,0.0014792183215473678,0.0012366447813092507,8,865.9600999623754,23.431074525970576,19.588667616487314,8,0.9878014148306121,0.003941690505046972,0.003295301931836214,8,2.0012988716572617,0.00016905503745292774,0.00014133209870028537,8,864.1007164610612,3.6759722588247734,3.0731581970658186,8,999.6027929671968,31.093975600827417,25.994947531948267,8,0.9425784926863672,0.04896756103614894,0.04093748564812965,8,68.0,0.0,0.0,8,68.0,0.0,0.0,8,10.0,0.0,0.0,8,68.0,0.0,0.0,8
reliability,13.623333333333333,0.0,0.0,8,0.15383849462477936,0.00031550520031629295,0.00026376624313233905,8,838.546574074074,1.4751902496900984,1.233277263500372,8,0.012478048239828503,0.002042920007718776,0.001707906351196975,8,245.5225619852363,48.660870371985396,40.68108846605759,8,0.9896376081065641,0.0020104148962317913,0.0016807316766403444,8,2.7735252229553637,0.002214716261926915,0.001851530140951508,8,142.19452574477086,11.067631523609641,9.252676610176328,8,666.2118429077841,52.34588800500999,43.76180870764128,8,0.9710796250130851,0.033489858537207165,0.027997935249679168,8,10.0,0.0,0.0,8,10.0,0.0,0.0,8,68.0,0.0,0.0,8,10.0,0.0,0.0,8
