seed,profile,cycles,sf_len,power_normalized,power_raw,delay_normalized,delay_ms,pdr,reward,delay_ms_median,delay_ms_p95,pdr_p05,sf_terminal_mode,sf_terminal_median,sf_start,sf_end
43,balanced,250,30.404,0.1239437082030975,645.6071111111112,0.025470850229309144,473.9079173684417,0.9815085326636465,2.236531645287333,375.20502645502654,525.6907763532763,0.8888888888888888,29,29.0,29,32
43,delay,250,10.0,0.15793338711748453,865.708888888889,0.01118022418424166,216.10491776958452,0.9893509477183806,2.0739318319402997,126.01116990005879,208.45679012345678,0.9836070060207992,10,10.0,10,10
43,energy,250,67.996,0.11485929516150827,586.6715555555556,0.051487832546458556,952.2140245248813,0.990694290438687,2.0018751950137905,864.2750870528648,969.1416129457316,0.9777995702325205,68,68.0,68,68
43,reliability,250,10.0,0.15758821015074317,863.692,0.014164108308359144,324.40291973152944,0.9867696211068168,2.770096067216715,116.79408040519152,220.6524216524216,0.8888888888888888,10,10.0,10,10
44,balanced,250,30.276,0.12327772476589975,643.0151111111111,0.02358494522955294,449.4575570834125,0.9768065192238858,2.235086334729247,362.8418803418803,700.1627938854729,0.8668234767025089,29,29.0,32,29
44,delay,250,10.0,0.15879924303179507,869.3186666666668,0.009488745354742069,185.97369345536973,0.9950085786088009,2.0759858931517035,145.75244200244202,222.26359494415038,0.9958847736625512,10,10.0,10,10
44,energy,250,67.996,0.11444836420722132,584.7346666666667,0.049709306208494196,925.7327846351552,0.9875716276298899,2.0020388354452434,875.1654959557259,991.9158832688526,0.8888888888888888,68,68.0,68,68
44,reliability,250,10.0,0.15757909827315542,863.556,0.010558935918827238,194.929921468323,0.9860988238901518,2.7700261412903338,133.18658707547596,253.4079127488912,0.9224867724867726,10,10.0,10,10
45,balanced,250,30.336,0.12398488457751554,645.7977777777777,0.02313703331096096,434.1945555998508,0.9839909302829308,2.2378807191858128,361.7418486862931,485.4362903225806,0.8888888888888888,29,29.0,28,29
45,delay,250,10.0,0.15784312192388147,865.0835555555554,0.006665570362377099,143.67293911786453,0.9888748383303939,2.0775315209951457,139.2504409171076,200.797986478542,0.9877204585537919,10,10.0,10,10
45,energy,250,68.0,0.1145927481548825,585.2475555555557,0.046810664342250584,879.8524888387187,0.9887261448640758,2.0023420014942377,870.7478106185004,1011.0657498631634,0.9317460317460319,68,68.0,68,68
45,reliability,250,10.0,0.15751482715243423,862.9035555555556,0.013368405000253826,256.96656080060944,0.986502473828125,2.7704106136423388,143.02231718898386,292.0398916926694,0.9685788442184439,10,10.0,10,10
46,balanced,250,30.364,0.12400064186883474,646.4346666666668,0.021186999409566875,410.97551317832864,0.9866381258933823,2.239080267371616,365.3887419165197,460.8580931095298,0.9196275946275945,29,29.0,29,32
46,delay,250,10.0,0.15805813413304795,866.1586666666667,0.00986788234133979,186.90322548797022,0.9900988760669275,2.0750615344145253,138.78086419753086,245.33199950255477,0.9917695473251028,10,10.0,10,10
46,energy,250,68.0,0.11402109136577702,583.0155555555555,0.047376286868915866,888.2885554555644,0.9847577622177426,2.002236476029394,871.3333785556008,997.8565040926152,0.8888888888888888,68,68.0,68,68
46,reliability,250,10.0,0.1577897803583814,864.3048888888889,0.008431276271829973,164.97737923722372,0.9886391896169673,2.772839446931718,125.96391263057929,204.4347781847781,0.9876543209876544,10,10.0,10,10
47,balanced,250,30.352,0.12394180073200488,645.8017777777777,0.020635761524778584,400.71961732852077,0.9802711766011416,2.237547477865278,369.1627097182653,488.5593488649939,0.8550662878787878,29,29.0,29,29
47,delay,250,10.0,0.15857033860144396,868.1022222222223,0.010057062640184295,195.49557672740244,0.9924981369985202,2.0751665658359038,126.69849183738071,227.33912178356604,0.9879335684891241,10,10.0,10,10
