profile,sf_len_mean,sf_len_sd,sf_len_ci95,sf_len_n,power_normalized_mean,power_normalized_sd,power_normalized_ci95,power_normalized_n,power_raw_mean,power_raw_sd,power_raw_ci95,power_raw_n,delay_normalized_mean,delay_normalized_sd,delay_normalized_ci95,delay_normalized_n,delay_ms_mean,delay_ms_sd,delay_ms_ci95,delay_ms_n,pdr_mean,pdr_sd,pdr_ci95,pdr_n,reward_mean,reward_sd,reward_ci95,reward_n,delay_ms_median_mean,delay_ms_median_sd,delay_ms_median_ci95,delay_ms_median_n,delay_ms_p95_mean,delay_ms_p95_sd,delay_ms_p95_ci95,delay_ms_p95_n,pdr_p05_mean,pdr_p05_sd,pdr_p05_ci95,pdr_p05_n,sf_terminal_mode_mean,sf_terminal_mode_sd,sf_terminal_mode_ci95,sf_terminal_mode_n,sf_terminal_median_mean,sf_terminal_median_sd,sf_terminal_median_ci95,sf_terminal_median_n,sf_start_mean,sf_start_sd,sf_start_ci95,sf_start_n,sf_end_mean,sf_end_sd,sf_end_ci95,sf_end_n
balanced,30.3465,0.05429811888349088,0.04539389782702071,8,0.12393027876122537,0.0004517575686158762,0.00037767490539285443,8,645.6621666666666,1.8496844051321566,1.5463590014778898,8,0.023542473488017288,0.0024851622120831995,0.0020776262945856362,8,451.7177329694716,55.686013464437885,46.55419483357759,8,0.9821642296548918,0.004862022052681838,0.004064710469357818,8,2.2371817035994845,0.001989413493668205,0.0016631742447845343,8,365.3316488038711,5.024615526474449,4.200640621054588,8,576.7304698136692,116.91680892044603,97.74389587573165,8,0.8835267309239971,0.025253256386987232,0.021112034151499818,8,29.0,0.0,0.0,8,29.0,0.0,0.0,8,29.5,1.6035674514745464,1.340602189316428,8,30.875,1.5526475085202969,1.298032488277932,8
delay,10.0,0.0,0.0,8,0.15826958023317517,0.0004056783333863498,0.0003391520957823662,8,866.8154444444444,1.680864206210003,1.4052232306889758,8,0.012266498687414943,0.005073687732090514,0.004241665590863616,8,230.20096335901962,82.82337115540832,69.24136093895389,8,0.9912181998251255,0.002336805268002296,0.0019535980575119366,8,2.0733120809969656,0.004070582703894751,0.0034030574015560884,8,138.23238168724282,11.388020286613372,9.520525572014652,8,248.83205371274792,57.9355888320018,48.43486761726084,8,0.9873823563179406,0.00764519246645298,0.006391475300180108,8,10.0,0.0,0.0,8,10.0,0.0,0.0,8,10.0,0.0,0.0,8,10.0,0.0,0.0,8
energy,67.999,0.001851640199547366,0.0015479940697579746,8,0.11441313322109865,0.0005178023856564707,0.00043288918792035766,8,584.6722222222222,2.067029754757998,1.7280623974143796,8,0.04835003969902163,0.0016283186120754967,0.001361294465191225,8,904.8786671027924,25.84402858244866,21.60592700140432,8,0.9875181419899076,0.0035225797903258986,0.002944920199403076,8,2.002174103603288,0.0001578751954107732,0.0001319856127110977,8,872.1000867702257,4.228384613360164,3.5349817463119733,8,1004.9920291124193,34.251106614973786,28.634348042124184,8,0.9435039163068377,0.04917444224717937,0.041110440894995506,8,68.0,0.0,0.0,8,68.0,0.0,0.0,8,68.0,0.0,0.0,8,68.0,0.0,0.0,8
reliability,10.0,0.0,0.0,8,0.15792818046273482,0.00047510500644280026,0.00039719365169624336,8,865.1966111111111,2.235618010898202,1.8690042611736937,8,0.010595691007265436,0.002445844318938413,0.002044756050442965,8,210.34741026456186,57.310005718085925,47.9118724097042,8,0.9890802452540789,0.003016713232713122,0.002522009511103652,8,2.77276817954521,0.003050408463251225,0.0025501791398818896,8,135.50728201590655,11.461579521429574,9.58202200058606,8,236.6432828235439,29.565115408234142,24.716801533496753,8,0.953178469577864,0.04571900846717177,0.03822165558929696,8,10.0,0.0,0.0,8,10.0,0.0,0.0,8,10.0,0.0,0.0,8,10.0,0.0,0.0,8
